TRANSACTION DATE, TRANSACTION TIME, TRANSACTION ID, USER ID, IP ADDRESS, STATE OF ORGIN, AMOUNT, CURRENCY, NUMBER OF TOKENS PURCHASED
2018-10-5, 4:33:2, PAY-98157749KK601020NLPP4P7Q, 137, 175.176.184.183, India, 3.28, USD, 10
2018-10-5, 5:9:17, RAVE-1541394514266, 137, 175.176.184.183, India, 1.65, USD, 5
2018-10-5, 5:10:3, RAVE-1541394577790, 137, 175.176.184.183, India, 144.63, USD, 500
2018-10-5, 5:14:4, RAVE-1541394802004, 151, 42.108.58.41, NIGERIA, 52500, NGN, 500
2018-10-5, 8:44:30, RAVE-1541407439427, 151, 175.176.184.183, Nigeria, 1190, NGN, 10
2018-10-5, 10:11:50, RAVE-1541412680441, 151, 175.176.184.183, Nigeria, 600, NGN, 5
2018-10-5, 10:36:27, RAVE-1541414161436, 151, 175.176.184.183, Nigeria, 125, NGN, 1
2018-10-5, 10:45:16, RAVE-1541414680274, 151, 175.176.184.183, Nigeria, 1, NGN, 1000
2018-10-5, 13:8:50, RAVE-1541423225529, 141, 168.253.115.77, NIGERIA, 125, NGN, 1
2018-10-5, 13:32:23, RAVE-1541424665457, 170, 168.253.115.77, Nigeria, 125, NGN, 1
2018-10-5, 16:40:37, RAVE-1541436003929, 152, 41.58.112.134, Nigeria, 125, NGN, 1
2018-10-5, 16:42:15, RAVE-1541436099822, 152, 41.58.112.134, Nigeria, 125, NGN, 1
